news,5
feed,1
it,2
is,4
sunny,1
today,2
batumi,3
private,4
ad,4
selling,2
toyota,1
prius,1
actual,4
until,4
days,4
left,3
joke,3
of,2
the,4
day,1
saturday,1
and,2
here,1
where,1
can,1
you,1
buy,1
chicken,1
broth,1
in,1
bulk,1
stock,1
market,1
program,1
rates,1
this,1
as,1
following,3
lines,3
received,3
from,3
file,3
c,3
users,3
valeryia,3
ivanchankav,3
pycharmprojects,3
python,6
for,3
dqe,6
user,3
files,3
news1,1
txt,1
on,4
was,1
snowy,1
ago,1
rent,1
an,1
apartment,1
kobaladze,1
str,1
news2,1
json,1
big,1
dog,1
trying,1
to,1
relax,1
beach,1
something,1
very,1
expensive,1
news3,1
xml,1
gentleman,1
caught,1
huge,1
sea,1
bass,1
gonio,1
fresh,1
season,1
fruits,1
vegetables,1
call,1
us,1
